code,product_name,nova_group,energy-kcal_100g,proteins_100g,fat_100g,saturated-fat_100g,carbohydrates_100g,sugars_100g,fiber_100g,cholesterol_100g,calcium_100g,iron_100g,potassium_100g,sodium_100g
6111242100992,perly,3,97.0,8.0,3.0,,9.4,,,,0.25,,,
6111035002175,Sidi Ali,1,,,,,,,,,,,0.003,0.026
6111035000058,Eau minérale naturelle,1,,,,,,,,,,,,0.026
6111266962187,Lait,3,45.0,3.1,1.5,1.0,4.9,0.0,,,0.122,,,0.09
3274080005003,Eau De Source,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.068,,0.002,0.021
6111246721261,Fromage blanc nature,3,80.6,7.3,12.0,0.0,6.1,0.0,0.0,,,,,0.0
6111242101180,uht jaouda 1L,1,58.0,3.0,3.0,0.0,4.8,0.0,,,0.12,,,0.0
6111242106949,Jben,4,235.0,8.0,21.0,15.0,3.5,0.0,0.0,,,,,0.184
6111128000071,Ain Saïss,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,6.35e-05,,1e-06,0.0
50184453,Marmite Yeast Extract,4,260.0,34.0,0.5,0.1,30.0,1.2,,,,,,4.32
6111242100985,,1,101.0,7.6,6.0,0.0,4.2,0.0,0.0,,0.24,,,0.0
6111032009665,,1,45.0,3.0,1.5,1.0,4.8,0.0,,,0.12,,,0.0
6111252421582,اكوافينا,1,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,0.0
7622210449283,Prince Goût Chocolat,4,465.0,6.5,17.5,5.5,70.0,31.5,4.0,,,,,0.2
3046920029759,Excellence Noir Prodigieux 90% Cacao,3,592.0,10.0,55.0,30.0,14.0,7.0,0.0,,,0.0,,0.012
3017620425035,Nutella,4,539.0,6.3,30.9,10.6,57.5,56.3,,,,,,0.0428
5449000147417,Orange juice,4,39.0,0.0,0.0,0.0,9.3,17.0,5.0,,,,,0.0504
6111031005064,Tonik,2,504.0,4.35,22.2,10.9,71.7,40.0,0.435,,,,,0.087
6111180000231,levure pâtisserie,4,183.0,0.0,0.0,0.0,43.4,0.0,0.0,,,,,0.0
3175680011480,Sésame,4,467.0,10.0,18.0,2.0,64.0,17.0,4.6,,,,,0.152
6111162000839,Confiture de fraise,3,250.0,0.5,0.3,,61.33,63.0,,,,,,
6111242100206,Yaourt nature,3,78.5,4.2,3.3,2.4,8.0,0.0,0.0,,0.00016,,,0.0
6111184004129,Mayonnaise recette originale,4,592.0,1.12,65.21,9.8,0.22,0.05,,,,,,0.7
5025125000006,Sourdough White Ciabattin,3,230.0,10.1,0.8,0.1,44.1,2.4,2.9,,,0.0,,0.362
54491472,"coca cola 0,5",4,45.2,0.0,0.0,0.0,11.2,11.2,0.0,,,,,0.0
6111128000460,,1,,,,,,,,,0.00635,,0.0001,0.0008
20995553,Chocolat noir - 85% cacao,4,600.0,12.0,48.0,28.0,36.0,12.0,16.0,,,,,0.0
3268840001008,CRISTALINE Eau De Source 0.5L,1,0.0,,0.0,0.0,0.0,,,,0.039,,0.0015,0.001904
3017620422003,Nutella,4,539.0,6.3,30.9,10.6,57.5,56.3,0.0,,,0.0,,0.0428
5025125000112,Proper Sourdough,3,237.0,9.7,0.7,0.1,46.4,2.1,3.0,,,,,0.315
5025125000037,SLICED WHITE SOURDOUGH BREAD WITH GRAINS & SEEDS,3,237.0,10.7,2.7,0.3,40.2,1.4,4.7,,,0.0,,0.356
6111203006653,Cheddar,4,270.0,9.0,21.0,12.0,6.0,6.0,,,,,,0.6
20724696,Mandeln,1,621.0,24.7,53.3,4.33,4.67,4.67,12.0,,,,,0.004
6111184001562,Sel de table iodé,2,,,0.0,0.0,0.0,0.0,0.0,,,,,39.6
